"archInterp2","funcInterp2","count"
"access-way (alley, street, avenue, etc.)","other",1
"access-way (alley, street, avenue, etc.)","street or avenue",43
"apartment compound","high status residence",20
"apartment compound","intermediate status residence",11
"apartment compound","no plausible alternative to the pirmary interpretation",12
"apartment compound","obsidian workshop",3
"apartment compound","primary interpretation is the best assessment of a very ambiguous situation",8
"apartment compound","residence of uncertain status",23
"apartment compound","residential workshop",2
"avenue divider or possible avenue divider","avenue divider",3
"casa humilde","low status residential, no obvious occupational specialization",108
"casa humilde","no plausible alternative to the pirmary interpretation",18
"casa humilde","obsidian workshop",1
"casa humilde","platform of probable religious significance",2
"casa humilde","pottery workshop",2
"casa humilde","primary interpretation is the best assessment of a very ambiguous situation",15
"casa humilde","residence of uncertain status",12
"casa humilde","residential workshop",2
"cave","no plausible alternative to the pirmary interpretation",3
"cemetery","cemetery",4
"cemetery","primary interpretation is the best assessment of a very ambiguous situation",7
"free-standing wall or segment of wall","wall or segment of a wall",11
"no plausible alternative to the primary interpretation","\""civic\"" structure, but not a temple",39
"no plausible alternative to the primary interpretation","cultivated field",4
"no plausible alternative to the primary interpretation","high status residence",46
"no plausible alternative to the primary interpretation","intermediate status residence",105
"no plausible alternative to the primary interpretation","low status residential, no obvious occupational specialization",7
"no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",13239
"no plausible alternative to the primary interpretation","obsidian workshop",71
"no plausible alternative to the primary interpretation","other",17
"no plausible alternative to the primary interpretation","other type of workshop or craft production area",24
"no plausible alternative to the primary interpretation","plaza",6
"no plausible alternative to the primary interpretation","possible ball court",2
"no plausible alternative to the primary interpretation","pottery workshop",12
"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",906
"no plausible alternative to the primary interpretation","puesto",2
"no plausible alternative to the primary interpretation","residence of uncertain status",44
"no plausible alternative to the primary interpretation","residential workshop",42
"no plausible alternative to the primary interpretation","street or avenue",1
"no plausible alternative to the primary interpretation","temple",1
"no plausible alternative to the primary interpretation","temple platform",11
"no plausible alternative to the primary interpretation","unoccupied, not clear if cultivated or not",4
"occupation without durable structures","cultivated field",10
"occupation without durable structures","low status residential, no obvious occupational specialization",9
"occupation without durable structures","market or part of a market",3
"occupation without durable structures","no plausible alternative to the pirmary interpretation",4
"occupation without durable structures","obsidian workshop",13
"occupation without durable structures","plaza",3
"occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",60
"occupation without durable structures","residence of uncertain status",16
"other","\""civic\"" structure, but not a temple",2
"other","no plausible alternative to the pirmary interpretation",6
"other","other",9
"other","possible ball court",3
"other","primary interpretation is the best assessment of a very ambiguous situation",3
"other","unoccupied, not clear if cultivated or not",4
"platform in plaza (momoztli)","\""civic\"" structure, but not a temple",2
"platform in plaza (momoztli)","momoztli (platform in plaza)",3
"platform with other structures on it","no plausible alternative to the pirmary interpretation",19
"platform with other structures on it","other",16
"platform with other structures on it","platform of probable religious significance",15
"platform with other structures on it","primary interpretation is the best assessment of a very ambiguous situation",4
"platform with other structures on it","probably temple, hard to fit into any of the above categories",2
"platform with other structures on it","temple platform",2
"plaza","market or part of a market",3
"plaza","no plausible alternative to the pirmary interpretation",3
"plaza","obsidian workshop",3
"plaza","plaza",127
"plaza","possible ball court",2
"plaza","primary interpretation is the best assessment of a very ambiguous situation",4
"primary interpretation is the best assessment of a very ambiguous situation","\""civic\"" structure, but not a temple",2
"primary interpretation is the best assessment of a very ambiguous situation","cemetery",3
"primary interpretation is the best assessment of a very ambiguous situation","cultivated field",13
"primary interpretation is the best assessment of a very ambiguous situation","high status residence",8
"primary interpretation is the best assessment of a very ambiguous situation","intermediate status residence",10
"primary interpretation is the best assessment of a very ambiguous situation","low status residential, no obvious occupational specialization",2
"primary interpretation is the best assessment of a very ambiguous situation","momoztli (platform in plaza)",3
"primary interpretation is the best assessment of a very ambiguous situation","no plausible alternative to the pirmary interpretation",309
"primary interpretation is the best assessment of a very ambiguous situation","obsidian workshop",13
"primary interpretation is the best assessment of a very ambiguous situation","other",3
"primary interpretation is the best assessment of a very ambiguous situation","platform of probable religious significance",1
"primary interpretation is the best assessment of a very ambiguous situation","plaza",6
"primary interpretation is the best assessment of a very ambiguous situation","possible ball court",4
"primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",4256
"primary interpretation is the best assessment of a very ambiguous situation","puesto",2
"primary interpretation is the best assessment of a very ambiguous situation","residence of uncertain status",11
"primary interpretation is the best assessment of a very ambiguous situation","residential workshop",6
"primary interpretation is the best assessment of a very ambiguous situation","unoccupied, not clear if cultivated or not",3
"probably not occupied or utilized in this period","\""civic\"" structure, but not a temple",1
"probably not occupied or utilized in this period","no plausible alternative to the pirmary interpretation",4
"probably not occupied or utilized in this period","primary interpretation is the best assessment of a very ambiguous situation",14
"probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not",107
"pyramid (more than ca. 10m high)","no plausible alternative to the pirmary interpretation",2
"room group","high status residence",6
"room group","intermediate status residence",2
"room group","no plausible alternative to the pirmary interpretation",10
"room group","obsidian workshop",3
"room group","primary interpretation is the best assessment of a very ambiguous situation",15
"room group","residence of uncertain status",37
"room group","residential workshop",1
"simple platform","no plausible alternative to the pirmary interpretation",13
"simple platform","other",7
"simple platform","platform of probable religious significance",21
"simple platform","primary interpretation is the best assessment of a very ambiguous situation",7
"simple platform","probably temple, hard to fit into any of the above categories",1
"simple platform","temple platform",1
